구별,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,살인,강도,강간,절도,폭력,범죄,검거
강남구,0.3076923076923084,0.7142857142857142,0.565243921042194,0.41604966975693514,0.7475830830771333,13,21,449,3850,4284,2.7508546958542848,8617
강동구,0.25000000000000044,1.0,0.5870653319283454,0.09426207085409954,0.3261816773491848,4,6,156,2366,2712,2.25750908013163,5244
강북구,1.0,0.8571428571428572,0.6555197421434324,0.42413998744576165,1.0,7,14,153,1434,2649,3.9368025867320515,4257
강서구,1.0,1.0,0.47100805186656913,0.9999999999999998,0.5444315870959322,7,13,262,2096,3207,4.015439638962501,5585
관악구,0.666666666666667,1.0,0.3960830479452053,0.0,0.0,9,12,320,2706,3298,2.062749714611872,6345
광진구,1.0,1.0,0.8373287671232874,0.3938447421346205,0.3445637603967686,4,14,240,3026,2625,3.5757372696546765,5909
구로구,0.25000000000000044,0.46666666666666656,0.18722273680105284,0.25415842827874924,0.0901487528849696,8,15,281,2335,3007,1.2481965846314387,5646
금천구,1.0,1.0,0.6251020593304908,0.8834049155065631,0.7453363204505852,3,6,151,1567,2054,4.2538432952876395,3781
노원구,1.0,1.0,0.246923023433697,0.2017945943287709,0.6357254480484809,10,7,197,2193,2723,3.084443065810949,5130
도봉구,1.0,1.0,1.0,0.48744501092293446,0.8814351386049548,3,9,102,1063,1487,4.3688801495278895,2664
동대문구,1.0,1.0,0.695344049410088,0.3562656525599106,0.8551444165884661,5,13,173,1981,2548,3.9067541185584647,4720
동작구,1.0,0.11111111111111116,0.0,0.16515004804844446,0.34941670069129493,5,9,285,1865,1910,1.6256778598508506,4074
마포구,1.0,0.4285714285714286,0.6879368185630419,0.04257622346137735,0.5084427219598204,8,14,294,2555,2983,2.6675271925556685,5854
서대문구,1.0,0.6000000000000001,0.6197295854830103,0.3440203926515324,0.3647588831926605,2,5,154,1812,2056,2.9285088613272032,4029
서초구,0.25000000000000044,0.33333333333333326,0.28474328139705096,0.3668844867773622,0.8611506598555216,8,9,393,2635,2399,2.0961117613632685,5444
성동구,1.0,0.7777777777777777,0.8915525114155249,0.22293172241124015,0.7538996043403827,4,9,126,1607,1612,3.6461616159449255,3358
성북구,1.0,0.6000000000000001,0.6616438356164385,0.3705535302833005,0.45326721964431194,5,5,150,1785,2209,3.085464585544051,4154
송파구,0.7272727272727275,0.5384615384615388,0.6273349937733499,0.14532376108760214,0.5210086027135219,11,13,220,3239,3295,2.55940162330874,6778
양천구,1.0,0.0,0.7559931506849313,0.16898035678205692,0.09375767615192743,3,6,120,1890,2509,2.0187311836189155,4528
영등포구,0.5714285714285716,0.8181818181818181,0.2588808915718597,0.08236910228646277,0.3266368081546922,14,22,295,2964,3572,2.0574971916234044,6867
용산구,1.0,1.0,0.7886950995622086,0.24156744571586763,0.3532799434940763,5,14,194,1557,2050,3.383542488772153,3820
은평구,1.0,0.33333333333333326,0.7060158441987125,0.22284261194129318,0.7986935732037992,3,9,166,1914,2653,3.060885362677138,4745
종로구,0.5000000000000004,0.6363636363636367,0.5374277738102966,0.26266424761325036,0.48119529966146324,6,11,211,2184,2293,2.4176509574486476,4705
중구,0.0,0.33333333333333326,0.3225221595487511,0.10662280084370068,0.9615541048047298,3,9,170,2548,2224,1.7240323985305148,4954
중랑구,0.7692307692307692,0.6363636363636367,0.5928869679876934,0.2797477109240374,0.5201623592935931,13,11,187,2135,2847,2.79839144379973,5193
